name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"bytes","bytes_per_entry"
"BM_EraseAndFind<ChainingHashMap<0.5>>/256",369955,1891.94,1893.13,ns,,,,,,14336,112
"BM_EraseAndFind<ChainingHashMap<0.5>>/512",210706,3319.76,3321.13,ns,,,,,,28672,112
"BM_EraseAndFind<ChainingHashMap<0.5>>/4096",26566,26251.8,26252.1,ns,,,,,,229376,112
"BM_EraseAndFind<ChainingHashMap<0.5>>/32768",3437,203380,203358,ns,,,,,,1.83501e+06,112
"BM_EraseAndFind<ChainingHashMap<0.5>>/65536",1728,405197,405177,ns,,,,,,3.67002e+06,112
"BM_EraseAndFind<LinearProbingHashMap<0.5>>/256",1269473,547.036,549.07,ns,,,,,,4608,36
"BM_EraseAndFind<LinearProbingHashMap<0.5>>/512",1090360,643.471,645.238,ns,,,,,,9216,36
"BM_EraseAndFind<LinearProbingHashMap<0.5>>/4096",318189,2199.47,2202.01,ns,,,,,,73728,36
"BM_EraseAndFind<LinearProbingHashMap<0.5>>/32768",55504,12613,12611.8,ns,,,,,,589824,36
"BM_EraseAndFind<LinearProbingHashMap<0.5>>/65536",28977,24147.3,24147.7,ns,,,,,,1.17965e+06,36
"BM_EraseAndFind<RobinHoodHashMap<0.5>>/256",1258404,547.618,549.595,ns,,,,,,4160,32.5
"BM_EraseAndFind<RobinHoodHashMap<0.5>>/512",1087514,643.069,644.768,ns,,,,,,8320,32.5
"BM_EraseAndFind<RobinHoodHashMap<0.5>>/4096",303208,2308.29,2310.21,ns,,,,,,66560,32.5
"BM_EraseAndFind<RobinHoodHashMap<0.5>>/32768",53091,13196.4,13196,ns,,,,,,532480,32.5
"BM_EraseAndFind<RobinHoodHashMap<0.5>>/65536",27524,25416.1,25413.3,ns,,,,,,1.06496e+06,32.5
"BM_EraseAndFind<StdUnorderedMapAdapter<0.5>>/256",333786,2085.83,2086.63,ns,,,,,,11264,88
"BM_EraseAndFind<StdUnorderedMapAdapter<0.5>>/512",165321,4226.07,4225.85,ns,,,,,,22528,88
"BM_EraseAndFind<StdUnorderedMapAdapter<0.5>>/4096",23599,29734.7,29750.4,ns,,,,,,180224,88
"BM_EraseAndFind<StdUnorderedMapAdapter<0.5>>/32768",2929,240216,240205,ns,,,,,,1.35987e+06,83
"BM_EraseAndFind<StdUnorderedMapAdapter<0.5>>/65536",1472,475602,475595,ns,,,,,,2.70336e+06,82.5
"BM_EraseAndFind<ChainingHashMap<0.75>>/256",379830,1837.69,1839.33,ns,,,,,,14336,112
"BM_EraseAndFind<ChainingHashMap<0.75>>/512",205807,3401.24,3403.09,ns,,,,,,28672,112
"BM_EraseAndFind<ChainingHashMap<0.75>>/4096",26828,26036.6,26035,ns,,,,,,229376,112
"BM_EraseAndFind<ChainingHashMap<0.75>>/32768",3416,205027,205019,ns,,,,,,1.83501e+06,112
"BM_EraseAndFind<ChainingHashMap<0.75>>/65536",1713,408372,408349,ns,,,,,,3.67002e+06,112
"BM_EraseAndFind<LinearProbingHashMap<0.75>>/256",1255155,551.415,553.545,ns,,,,,,4608,36
"BM_EraseAndFind<LinearProbingHashMap<0.75>>/512",1098694,642.323,643.844,ns,,,,,,9216,36
"BM_EraseAndFind<LinearProbingHashMap<0.75>>/4096",318224,2201.39,2202.5,ns,,,,,,73728,36
"BM_EraseAndFind<LinearProbingHashMap<0.75>>/32768",55511,12604.4,12603.5,ns,,,,,,589824,36
"BM_EraseAndFind<LinearProbingHashMap<0.75>>/65536",28981,24149.1,24149.9,ns,,,,,,1.17965e+06,36
"BM_EraseAndFind<RobinHoodHashMap<0.75>>/256",1277093,547.503,549.691,ns,,,,,,4160,32.5
"BM_EraseAndFind<RobinHoodHashMap<0.75>>/512",1079381,645.241,647.262,ns,,,,,,8320,32.5
"BM_EraseAndFind<RobinHoodHashMap<0.75>>/4096",302435,2315.15,2316.77,ns,,,,,,66560,32.5
"BM_EraseAndFind<RobinHoodHashMap<0.75>>/32768",53091,13189.3,13190.7,ns,,,,,,532480,32.5
"BM_EraseAndFind<RobinHoodHashMap<0.75>>/65536",27522,25418.7,25418.2,ns,,,,,,1.06496e+06,32.5
"BM_EraseAndFind<StdUnorderedMapAdapter<0.75>>/256",338310,2033.58,2034.57,ns,,,,,,7680,60
"BM_EraseAndFind<StdUnorderedMapAdapter<0.75>>/512",189001,3707.92,3708.16,ns,,,,,,15360,60
"BM_EraseAndFind<StdUnorderedMapAdapter<0.75>>/4096",24039,29040.8,29035.2,ns,,,,,,131072,64
"BM_EraseAndFind<StdUnorderedMapAdapter<0.75>>/32768",2994,235462,235458,ns,,,,,,950272,58
"BM_EraseAndFind<StdUnorderedMapAdapter<0.75>>/65536",1490,471212,471215,ns,,,,,,1.88416e+06,57.5
"BM_EraseAndFind<ChainingHashMap<0.9>>/256",377593,1868.73,1870.48,ns,,,,,,14336,112
"BM_EraseAndFind<ChainingHashMap<0.9>>/512",215021,3250.82,3252.63,ns,,,,,,28672,112
"BM_EraseAndFind<ChainingHashMap<0.9>>/4096",26261,26419.6,26412.5,ns,,,,,,229376,112
